Course Title,Instructors,Course Subject,Total Course Hours (Thousands),Course_Level,Pre_Requirement,Course_Price,Placement_Opportunity,Course_Relevancy,Expected_Package,EMI_Available,Financial_Aid,Offer_Certificate,soup
Entrepreneurship and Healthcare in Emerging Economies,Tarun Khanna,"Government, Health, and Social Science",17.21,Advanced,No Prerequisite,125.0,Yes,2014,13,Yes,No,Yes,"""Title"": Entrepreneurship and Healthcare in Emerging Economies, ""Level"": Advanced, ""Price"": 125.0, ""Duration"": 17.21, ""Pre_Requirement"": No Prerequisite, ""Placement_Opportunity"": Yes, ""Course_Relevancy"": Based on 2014 Market Demand, ""Expected_Package"": 13 to 14 LPA, ""EMI_Available"": Yes, ""Financial_Aid"": No, ""Offer_Certificate"": Yes, ""Metadata"": Government, Health, and Social Science"
The Ancient Greek Hero: Plato and Beyond,Gregory Nagy,"Humanities, History, Design, Religion, and Education",2.41,Advanced,No Prerequisite,0.0,Yes,2014,23,No,Yes,Yes,"""Title"": The Ancient Greek Hero: Plato and Beyond, ""Level"": Advanced, ""Price"": Free, ""Duration"": 2.41, ""Pre_Requirement"": No Prerequisite, ""Placement_Opportunity"": Yes, ""Course_Relevancy"": Based on 2014 Market Demand, ""Expected_Package"": 23 to 24 LPA, ""EMI_Available"": No, ""Financial_Aid"": Yes, ""Offer_Certificate"": Yes, ""Metadata"": Humanities, History, Design, Religion, and Education"
"Light, Spike, and Sight: The Neuroscience of Vision",Sebastian Seung,"Science, Technology, Engineering, and Mathematics",18.49,Advanced,No Prerequisite,0.0,No,2014,13,No,No,Yes,"""Title"": Light, Spike, and Sight: The Neuroscience of Vision, ""Level"": Advanced, ""Price"": Free, ""Duration"": 18.49, ""Pre_Requirement"": No Prerequisite, ""Placement_Opportunity"": No, ""Course_Relevancy"": Based on 2014 Market Demand, ""Expected_Package"": 13 to 14 LPA, ""EMI_Available"": No, ""Financial_Aid"": No, ""Offer_Certificate"": Yes, ""Metadata"": Science, Technology, Engineering, and Mathematics"
Communist Liberations,"Peter Bol, Bill Kirby","Humanities, History, Design, Religion, and Education",23.03,Advanced,No Prerequisite,950.0,No,2014,4,Yes,No,Yes,"""Title"": Communist Liberations, ""Level"": Advanced, ""Price"": 950.0, ""Duration"": 23.03, ""Pre_Requirement"": No Prerequisite, ""Placement_Opportunity"": No, ""Course_Relevancy"": Based on 2014 Market Demand, ""Expected_Package"": 4 to 5 LPA, ""EMI_Available"": Yes, ""Financial_Aid"": No, ""Offer_Certificate"": Yes, ""Metadata"": Humanities, History, Design, Religion, and Education"
Introduction to Computer Science,David Malan,Computer Science,275.96,Advanced,No Prerequisite,850.0,Yes,2015,23,Yes,Yes,Yes,"""Title"": Introduction to Computer Science, ""Level"": Advanced, ""Price"": 850.0, ""Duration"": 275.96, ""Pre_Requirement"": No Prerequisite, ""Placement_Opportunity"": Yes, ""Course_Relevancy"": Based on 2015 Market Demand, ""Expected_Package"": 23 to 24 LPA, ""EMI_Available"": Yes, ""Financial_Aid"": Yes, ""Offer_Certificate"": Yes, ""Metadata"": Computer Science"
"Greater China Today: The People's Republic, Taiwan, and Hong Kong","Peter Bol, Bill Kirby","Humanities, History, Design, Religion, and Education",48.23,Advanced,No Prerequisite,100.0,No,2015,19,No,Yes,Yes,"""Title"": Greater China Today: The People's Republic, Taiwan, and Hong Kong, ""Level"": Advanced, ""Price"": 100.0, ""Duration"": 48.23, ""Pre_Requirement"": No Prerequisite, ""Placement_Opportunity"": No, ""Course_Relevancy"": Based on 2015 Market Demand, ""Expected_Package"": 19 to 20 LPA, ""EMI_Available"": No, ""Financial_Aid"": Yes, ""Offer_Certificate"": Yes, ""Metadata"": Humanities, History, Design, Religion, and Education"
"Saving Schools: History, Politics, and Policy of U.S. Education – Accountability and National Standards",Paul Peterson,"Humanities, History, Design, Religion, and Education",3.4,Advanced,No Prerequisite,0.0,Yes,2015,13,No,No,Yes,"""Title"": Saving Schools: History, Politics, and Policy of U.S. Education – Accountability and National Standards, ""Level"": Advanced, ""Price"": Free, ""Duration"": 3.4, ""Pre_Requirement"": No Prerequisite, ""Placement_Opportunity"": Yes, ""Course_Relevancy"": Based on 2015 Market Demand, ""Expected_Package"": 13 to 14 LPA, ""EMI_Available"": No, ""Financial_Aid"": No, ""Offer_Certificate"": Yes, ""Metadata"": Humanities, History, Design, Religion, and Education"
Poetry in America: Walt Whitman,Elisa New,"Humanities, History, Design, Religion, and Education",9.2,Advanced,No Prerequisite,900.0,No,2015,21,Yes,Yes,Yes,"""Title"": Poetry in America: Walt Whitman, ""Level"": Advanced, ""Price"": 900.0, ""Duration"": 9.2, ""Pre_Requirement"": No Prerequisite, ""Placement_Opportunity"": No, ""Course_Relevancy"": Based on 2015 Market Demand, ""Expected_Package"": 21 to 22 LPA, ""EMI_Available"": Yes, ""Financial_Aid"": Yes, ""Offer_Certificate"": Yes, ""Metadata"": Humanities, History, Design, Religion, and Education"
Introduction to Computer Science and Programming Using Python,"Eric Grimson, John Guttag",Computer Science,485.67,Advanced,No Prerequisite,0.0,Yes,2015,23,No,No,Yes,"""Title"": Introduction to Computer Science and Programming Using Python, ""Level"": Advanced, ""Price"": Free, ""Duration"": 485.67, ""Pre_Requirement"": No Prerequisite, ""Placement_Opportunity"": Yes, ""Course_Relevancy"": Based on 2015 Market Demand, ""Expected_Package"": 23 to 24 LPA, ""EMI_Available"": No, ""Financial_Aid"": No, ""Offer_Certificate"": Yes, ""Metadata"": Computer Science"
"Transforming Business, Society, and Self",Otto Scharmer,"Government, Health, and Social Science",82.24,Advanced,No Prerequisite,750.0,Yes,2015,19,Yes,No,Yes,"""Title"": Transforming Business, Society, and Self, ""Level"": Advanced, ""Price"": 750.0, ""Duration"": 82.24, ""Pre_Requirement"": No Prerequisite, ""Placement_Opportunity"": Yes, ""Course_Relevancy"": Based on 2015 Market Demand, ""Expected_Package"": 19 to 20 LPA, ""EMI_Available"": Yes, ""Financial_Aid"": No, ""Offer_Certificate"": Yes, ""Metadata"": Government, Health, and Social Science"
ContractsX: From Trust to Promise to Contract,Charles Fried,"Government, Health, and Social Science",68.16,Advanced,No Prerequisite,75.0,No,2015,5,Yes,Yes,Yes,"""Title"": ContractsX: From Trust to Promise to Contract, ""Level"": Advanced, ""Price"": 75.0, ""Duration"": 68.16, ""Pre_Requirement"": No Prerequisite, ""Placement_Opportunity"": No, ""Course_Relevancy"": Based on 2015 Market Demand, ""Expected_Package"": 5 to 6 LPA, ""EMI_Available"": Yes, ""Financial_Aid"": Yes, ""Offer_Certificate"": Yes, ""Metadata"": Government, Health, and Social Science"
Advanced Introductory Classical Mechanics,David E. Pritchard,"Science, Technology, Engineering, and Mathematics",76.36,Beginner,No Prerequisite,0.0,Yes,2015,9,No,Yes,Yes,"""Title"": Advanced Introductory Classical Mechanics, ""Level"": Beginner, ""Price"": Free, ""Duration"": 76.36, ""Pre_Requirement"": No Prerequisite, ""Placement_Opportunity"": Yes, ""Course_Relevancy"": Based on 2015 Market Demand, ""Expected_Package"": 9 to 10 LPA, ""EMI_Available"": No, ""Financial_Aid"": Yes, ""Offer_Certificate"": Yes, ""Metadata"": Science, Technology, Engineering, and Mathematics"
Entrepreneurship 101: Who Is Your Customer?,Bill Aulet,"Government, Health, and Social Science",110.41,Advanced,No Prerequisite,0.0,Yes,2015,12,No,No,Yes,"""Title"": Entrepreneurship 101: Who Is Your Customer?, ""Level"": Advanced, ""Price"": Free, ""Duration"": 110.41, ""Pre_Requirement"": No Prerequisite, ""Placement_Opportunity"": Yes, ""Course_Relevancy"": Based on 2015 Market Demand, ""Expected_Package"": 12 to 13 LPA, ""EMI_Available"": No, ""Financial_Aid"": No, ""Offer_Certificate"": Yes, ""Metadata"": Government, Health, and Social Science"
Entrepreneurship 102: What Can You Do For Your Customer?,Bill Aulet,"Government, Health, and Social Science",33.06,Advanced,No Prerequisite,0.0,Yes,2015,5,No,Yes,Yes,"""Title"": Entrepreneurship 102: What Can You Do For Your Customer?, ""Level"": Advanced, ""Price"": Free, ""Duration"": 33.06, ""Pre_Requirement"": No Prerequisite, ""Placement_Opportunity"": Yes, ""Course_Relevancy"": Based on 2015 Market Demand, ""Expected_Package"": 5 to 6 LPA, ""EMI_Available"": No, ""Financial_Aid"": Yes, ""Offer_Certificate"": Yes, ""Metadata"": Government, Health, and Social Science"
Quantitative Biology Workshop,Collaborative,"Science, Technology, Engineering, and Mathematics",26.27,Advanced,No Prerequisite,0.0,Yes,2015,23,No,No,Yes,"""Title"": Quantitative Biology Workshop, ""Level"": Advanced, ""Price"": Free, ""Duration"": 26.27, ""Pre_Requirement"": No Prerequisite, ""Placement_Opportunity"": Yes, ""Course_Relevancy"": Based on 2015 Market Demand, ""Expected_Package"": 23 to 24 LPA, ""EMI_Available"": No, ""Financial_Aid"": No, ""Offer_Certificate"": Yes, ""Metadata"": Science, Technology, Engineering, and Mathematics"
Innovation and Commercialization,Eugene Fitzgerald,"Government, Health, and Social Science",36.51,Advanced,No Prerequisite,0.0,Yes,2015,15,No,Yes,Yes,"""Title"": Innovation and Commercialization, ""Level"": Advanced, ""Price"": Free, ""Duration"": 36.51, ""Pre_Requirement"": No Prerequisite, ""Placement_Opportunity"": Yes, ""Course_Relevancy"": Based on 2015 Market Demand, ""Expected_Package"": 15 to 16 LPA, ""EMI_Available"": No, ""Financial_Aid"": Yes, ""Offer_Certificate"": Yes, ""Metadata"": Government, Health, and Social Science"
Data Analysis for Genomics: Statistics and R for the Life Sciences,Rafael Irizarry,"Government, Health, and Social Science",107.06,Advanced,No Prerequisite,0.0,No,2015,12,No,No,Yes,"""Title"": Data Analysis for Genomics: Statistics and R for the Life Sciences, ""Level"": Advanced, ""Price"": Free, ""Duration"": 107.06, ""Pre_Requirement"": No Prerequisite, ""Placement_Opportunity"": No, ""Course_Relevancy"": Based on 2015 Market Demand, ""Expected_Package"": 12 to 13 LPA, ""EMI_Available"": No, ""Financial_Aid"": No, ""Offer_Certificate"": Yes, ""Metadata"": Government, Health, and Social Science"
Circuits and Electronics,Anant Agarwal,"Science, Technology, Engineering, and Mathematics",99.42,Advanced,No Prerequisite,150.0,No,2015,24,Yes,No,Yes,"""Title"": Circuits and Electronics, ""Level"": Advanced, ""Price"": 150.0, ""Duration"": 99.42, ""Pre_Requirement"": No Prerequisite, ""Placement_Opportunity"": No, ""Course_Relevancy"": Based on 2015 Market Demand, ""Expected_Package"": 24 to 25 LPA, ""EMI_Available"": Yes, ""Financial_Aid"": No, ""Offer_Certificate"": Yes, ""Metadata"": Science, Technology, Engineering, and Mathematics"
Building Mobile Experiences,"Frank Bentley, Ed Barrett",Computer Science,24.59,Advanced,No Prerequisite,150.0,No,2015,7,No,No,Yes,"""Title"": Building Mobile Experiences, ""Level"": Advanced, ""Price"": 150.0, ""Duration"": 24.59, ""Pre_Requirement"": No Prerequisite, ""Placement_Opportunity"": No, ""Course_Relevancy"": Based on 2015 Market Demand, ""Expected_Package"": 7 to 8 LPA, ""EMI_Available"": No, ""Financial_Aid"": No, ""Offer_Certificate"": Yes, ""Metadata"": Computer Science"
The Challenges of Global Poverty,"Duflo, Banerjee","Government, Health, and Social Science",66.87,Advanced,No Prerequisite,575.0,No,2015,7,Yes,No,Yes,"""Title"": The Challenges of Global Poverty, ""Level"": Advanced, ""Price"": 575.0, ""Duration"": 66.87, ""Pre_Requirement"": No Prerequisite, ""Placement_Opportunity"": No, ""Course_Relevancy"": Based on 2015 Market Demand, ""Expected_Package"": 7 to 8 LPA, ""EMI_Available"": Yes, ""Financial_Aid"": No, ""Offer_Certificate"": Yes, ""Metadata"": Government, Health, and Social Science"
Introduction to Probability: The Science of Uncertainty,"John Tsitsiklis, Patrick Jailet, Dimitri Bertsekas","Science, Technology, Engineering, and Mathematics",217.1,Advanced,No Prerequisite,450.0,No,2015,12,Yes,No,Yes,"""Title"": Introduction to Probability: The Science of Uncertainty, ""Level"": Advanced, ""Price"": 450.0, ""Duration"": 217.1, ""Pre_Requirement"": No Prerequisite, ""Placement_Opportunity"": No, ""Course_Relevancy"": Based on 2015 Market Demand, ""Expected_Package"": 12 to 13 LPA, ""EMI_Available"": Yes, ""Financial_Aid"": No, ""Offer_Certificate"": Yes, ""Metadata"": Science, Technology, Engineering, and Mathematics"
Discrete-Time Signal Processing,"Oppenheim, Baran","Science, Technology, Engineering, and Mathematics",48.98,Advanced,No Prerequisite,0.0,No,2015,13,No,No,Yes,"""Title"": Discrete-Time Signal Processing, ""Level"": Advanced, ""Price"": Free, ""Duration"": 48.98, ""Pre_Requirement"": No Prerequisite, ""Placement_Opportunity"": No, ""Course_Relevancy"": Based on 2015 Market Demand, ""Expected_Package"": 13 to 14 LPA, ""EMI_Available"": No, ""Financial_Aid"": No, ""Offer_Certificate"": Yes, ""Metadata"": Science, Technology, Engineering, and Mathematics"
"Saving Schools: History, Politics, and Policy in U.S. Education",Paul Peterson,"Humanities, History, Design, Religion, and Education",3.16,Advanced,No Prerequisite,75.0,No,2015,15,Yes,No,Yes,"""Title"": Saving Schools: History, Politics, and Policy in U.S. Education, ""Level"": Advanced, ""Price"": 75.0, ""Duration"": 3.16, ""Pre_Requirement"": No Prerequisite, ""Placement_Opportunity"": No, ""Course_Relevancy"": Based on 2015 Market Demand, ""Expected_Package"": 15 to 16 LPA, ""EMI_Available"": Yes, ""Financial_Aid"": No, ""Offer_Certificate"": Yes, ""Metadata"": Humanities, History, Design, Religion, and Education"
Super-Earths and Life,Dimitar Sasselov,"Science, Technology, Engineering, and Mathematics",21.03,Advanced,No Prerequisite,0.0,No,2015,11,No,Yes,Yes,"""Title"": Super-Earths and Life, ""Level"": Advanced, ""Price"": Free, ""Duration"": 21.03, ""Pre_Requirement"": No Prerequisite, ""Placement_Opportunity"": No, ""Course_Relevancy"": Based on 2015 Market Demand, ""Expected_Package"": 11 to 12 LPA, ""EMI_Available"": No, ""Financial_Aid"": Yes, ""Offer_Certificate"": Yes, ""Metadata"": Science, Technology, Engineering, and Mathematics"
"Symmetry, Structure and Tensor Properties of Materials",Eugene Fitzgerald,"Science, Technology, Engineering, and Mathematics",11.54,Advanced,No Prerequisite,25.0,Yes,2015,4,Yes,Yes,Yes,"""Title"": Symmetry, Structure and Tensor Properties of Materials, ""Level"": Advanced, ""Price"": 25.0, ""Duration"": 11.54, ""Pre_Requirement"": No Prerequisite, ""Placement_Opportunity"": Yes, ""Course_Relevancy"": Based on 2015 Market Demand, ""Expected_Package"": 4 to 5 LPA, ""EMI_Available"": Yes, ""Financial_Aid"": Yes, ""Offer_Certificate"": Yes, ""Metadata"": Science, Technology, Engineering, and Mathematics"
Mastering Quantum Mechanics,Barton Zwiebach,"Science, Technology, Engineering, and Mathematics",187.44,Advanced,No Prerequisite,325.0,Yes,2015,8,Yes,Yes,Yes,"""Title"": Mastering Quantum Mechanics, ""Level"": Advanced, ""Price"": 325.0, ""Duration"": 187.44, ""Pre_Requirement"": No Prerequisite, ""Placement_Opportunity"": Yes, ""Course_Relevancy"": Based on 2015 Market Demand, ""Expected_Package"": 8 to 9 LPA, ""EMI_Available"": Yes, ""Financial_Aid"": Yes, ""Offer_Certificate"": Yes, ""Metadata"": Science, Technology, Engineering, and Mathematics"
The Einstein Revolution,Peter Galison,"Humanities, History, Design, Religion, and Education",40.5,Advanced,No Prerequisite,600.0,Yes,2015,10,Yes,No,Yes,"""Title"": The Einstein Revolution, ""Level"": Advanced, ""Price"": 600.0, ""Duration"": 40.5, ""Pre_Requirement"": No Prerequisite, ""Placement_Opportunity"": Yes, ""Course_Relevancy"": Based on 2015 Market Demand, ""Expected_Package"": 10 to 11 LPA, ""EMI_Available"": Yes, ""Financial_Aid"": No, ""Offer_Certificate"": Yes, ""Metadata"": Humanities, History, Design, Religion, and Education"
"Central Challenges in American National Security, Strategy and the Press","Graham Allison, David Sanger","Government, Health, and Social Science",20.36,Advanced,No Prerequisite,0.0,Yes,2015,3,No,Yes,Yes,"""Title"": Central Challenges in American National Security, Strategy and the Press, ""Level"": Advanced, ""Price"": Free, ""Duration"": 20.36, ""Pre_Requirement"": No Prerequisite, ""Placement_Opportunity"": Yes, ""Course_Relevancy"": Based on 2015 Market Demand, ""Expected_Package"": 3 to 4 LPA, ""EMI_Available"": No, ""Financial_Aid"": Yes, ""Offer_Certificate"": Yes, ""Metadata"": Government, Health, and Social Science"
Introduction to Linear Models and Matrix Algebra,Rafael Irizarry,"Government, Health, and Social Science",27.9,Advanced,No Prerequisite,125.0,No,2015,4,No,Yes,Yes,"""Title"": Introduction to Linear Models and Matrix Algebra, ""Level"": Advanced, ""Price"": 125.0, ""Duration"": 27.9, ""Pre_Requirement"": No Prerequisite, ""Placement_Opportunity"": No, ""Course_Relevancy"": Based on 2015 Market Demand, ""Expected_Package"": 4 to 5 LPA, ""EMI_Available"": No, ""Financial_Aid"": Yes, ""Offer_Certificate"": Yes, ""Metadata"": Government, Health, and Social Science"
Introduction to Solid State Chemistry,Michael Cima,"Science, Technology, Engineering, and Mathematics",29.49,Advanced,No Prerequisite,0.0,No,2015,6,No,Yes,Yes,"""Title"": Introduction to Solid State Chemistry, ""Level"": Advanced, ""Price"": Free, ""Duration"": 29.49, ""Pre_Requirement"": No Prerequisite, ""Placement_Opportunity"": No, ""Course_Relevancy"": Based on 2015 Market Demand, ""Expected_Package"": 6 to 7 LPA, ""EMI_Available"": No, ""Financial_Aid"": Yes, ""Offer_Certificate"": Yes, ""Metadata"": Science, Technology, Engineering, and Mathematics"
Advanced Statistics for the Life Sciences,Rafael Irizarry,"Government, Health, and Social Science",37.84,Advanced,No Prerequisite,0.0,No,2015,21,No,Yes,Yes,"""Title"": Advanced Statistics for the Life Sciences, ""Level"": Advanced, ""Price"": Free, ""Duration"": 37.84, ""Pre_Requirement"": No Prerequisite, ""Placement_Opportunity"": No, ""Course_Relevancy"": Based on 2015 Market Demand, ""Expected_Package"": 21 to 22 LPA, ""EMI_Available"": No, ""Financial_Aid"": Yes, ""Offer_Certificate"": Yes, ""Metadata"": Government, Health, and Social Science"
Computation Structures: Digital Circuits,"Chris Terman, Steve Ward, Silvina Hanono Wachman",Computer Science,126.65,Advanced,No Prerequisite,0.0,No,2015,21,No,No,Yes,"""Title"": Computation Structures: Digital Circuits, ""Level"": Advanced, ""Price"": Free, ""Duration"": 126.65, ""Pre_Requirement"": No Prerequisite, ""Placement_Opportunity"": No, ""Course_Relevancy"": Based on 2015 Market Demand, ""Expected_Package"": 21 to 22 LPA, ""EMI_Available"": No, ""Financial_Aid"": No, ""Offer_Certificate"": Yes, ""Metadata"": Computer Science"
The Analytics Edge,"Dimitris Bertsimas, Allison O'Hair","Government, Health, and Social Science",648.95,Advanced,No Prerequisite,875.0,Yes,2015,23,No,No,Yes,"""Title"": The Analytics Edge, ""Level"": Advanced, ""Price"": 875.0, ""Duration"": 648.95, ""Pre_Requirement"": No Prerequisite, ""Placement_Opportunity"": Yes, ""Course_Relevancy"": Based on 2015 Market Demand, ""Expected_Package"": 23 to 24 LPA, ""EMI_Available"": No, ""Financial_Aid"": No, ""Offer_Certificate"": Yes, ""Metadata"": Government, Health, and Social Science"
Introduction to Aerospace Engineering: Astronautics and Human Spaceflight,Jeffrey Hoffman,"Science, Technology, Engineering, and Mathematics",121.16,Advanced,No Prerequisite,950.0,No,2015,11,No,Yes,Yes,"""Title"": Introduction to Aerospace Engineering: Astronautics and Human Spaceflight, ""Level"": Advanced, ""Price"": 950.0, ""Duration"": 121.16, ""Pre_Requirement"": No Prerequisite, ""Placement_Opportunity"": No, ""Course_Relevancy"": Based on 2015 Market Demand, ""Expected_Package"": 11 to 12 LPA, ""EMI_Available"": No, ""Financial_Aid"": Yes, ""Offer_Certificate"": Yes, ""Metadata"": Science, Technology, Engineering, and Mathematics"
Introduction to Computational Thinking and Data Science,Eric Grimson,Computer Science,159.01,Advanced,No Prerequisite,0.0,Yes,2015,21,No,No,Yes,"""Title"": Introduction to Computational Thinking and Data Science, ""Level"": Advanced, ""Price"": Free, ""Duration"": 159.01, ""Pre_Requirement"": No Prerequisite, ""Placement_Opportunity"": Yes, ""Course_Relevancy"": Based on 2015 Market Demand, ""Expected_Package"": 21 to 22 LPA, ""EMI_Available"": No, ""Financial_Aid"": No, ""Offer_Certificate"": Yes, ""Metadata"": Computer Science"
JuryX: Deliberations for Social Change,Charles Nesson,"Government, Health, and Social Science",5.88,Advanced,No Prerequisite,825.0,Yes,2015,10,Yes,No,Yes,"""Title"": JuryX: Deliberations for Social Change, ""Level"": Advanced, ""Price"": 825.0, ""Duration"": 5.88, ""Pre_Requirement"": No Prerequisite, ""Placement_Opportunity"": Yes, ""Course_Relevancy"": Based on 2015 Market Demand, ""Expected_Package"": 10 to 11 LPA, ""EMI_Available"": Yes, ""Financial_Aid"": No, ""Offer_Certificate"": Yes, ""Metadata"": Government, Health, and Social Science"
Molecular Biology: DNA Replication and Repair,"Stephen Bell, Tania Baker","Science, Technology, Engineering, and Mathematics",98.6,Advanced,No Prerequisite,725.0,No,2015,13,No,No,Yes,"""Title"": Molecular Biology: DNA Replication and Repair, ""Level"": Advanced, ""Price"": 725.0, ""Duration"": 98.6, ""Pre_Requirement"": No Prerequisite, ""Placement_Opportunity"": No, ""Course_Relevancy"": Based on 2015 Market Demand, ""Expected_Package"": 13 to 14 LPA, ""EMI_Available"": No, ""Financial_Aid"": No, ""Offer_Certificate"": Yes, ""Metadata"": Science, Technology, Engineering, and Mathematics"
Poetry in America: Emily Dickinson,Elisa New,"Humanities, History, Design, Religion, and Education",20.14,Advanced,No Prerequisite,725.0,No,2015,21,Yes,No,Yes,"""Title"": Poetry in America: Emily Dickinson, ""Level"": Advanced, ""Price"": 725.0, ""Duration"": 20.14, ""Pre_Requirement"": No Prerequisite, ""Placement_Opportunity"": No, ""Course_Relevancy"": Based on 2015 Market Demand, ""Expected_Package"": 21 to 22 LPA, ""EMI_Available"": Yes, ""Financial_Aid"": No, ""Offer_Certificate"": Yes, ""Metadata"": Humanities, History, Design, Religion, and Education"
The American Dream for the Next Generation,Thomas Kochan,"Government, Health, and Social Science",20.5,Advanced,No Prerequisite,925.0,No,2015,6,No,No,Yes,"""Title"": The American Dream for the Next Generation, ""Level"": Advanced, ""Price"": 925.0, ""Duration"": 20.5, ""Pre_Requirement"": No Prerequisite, ""Placement_Opportunity"": No, ""Course_Relevancy"": Based on 2015 Market Demand, ""Expected_Package"": 6 to 7 LPA, ""EMI_Available"": No, ""Financial_Aid"": No, ""Offer_Certificate"": Yes, ""Metadata"": Government, Health, and Social Science"
Introduction to Bioconductor,Rafael Irizarry,"Government, Health, and Social Science",29.02,Advanced,No Prerequisite,0.0,Yes,2015,15,No,Yes,Yes,"""Title"": Introduction to Bioconductor, ""Level"": Advanced, ""Price"": Free, ""Duration"": 29.02, ""Pre_Requirement"": No Prerequisite, ""Placement_Opportunity"": Yes, ""Course_Relevancy"": Based on 2015 Market Demand, ""Expected_Package"": 15 to 16 LPA, ""EMI_Available"": No, ""Financial_Aid"": Yes, ""Offer_Certificate"": Yes, ""Metadata"": Government, Health, and Social Science"
Entrepreneurship 101: Who Is Your Customer?,Bill Aulet,"Government, Health, and Social Science",64.07,Advanced,No Prerequisite,0.0,No,2015,22,No,No,Yes,"""Title"": Entrepreneurship 101: Who Is Your Customer?, ""Level"": Advanced, ""Price"": Free, ""Duration"": 64.07, ""Pre_Requirement"": No Prerequisite, ""Placement_Opportunity"": No, ""Course_Relevancy"": Based on 2015 Market Demand, ""Expected_Package"": 22 to 23 LPA, ""EMI_Available"": No, ""Financial_Aid"": No, ""Offer_Certificate"": Yes, ""Metadata"": Government, Health, and Social Science"
Design and Development of Games for Learning,Eric Klopfer,"Humanities, History, Design, Religion, and Education",36.12,Advanced,No Prerequisite,0.0,No,2015,16,No,Yes,Yes,"""Title"": Design and Development of Games for Learning, ""Level"": Advanced, ""Price"": Free, ""Duration"": 36.12, ""Pre_Requirement"": No Prerequisite, ""Placement_Opportunity"": No, ""Course_Relevancy"": Based on 2015 Market Demand, ""Expected_Package"": 16 to 17 LPA, ""EMI_Available"": No, ""Financial_Aid"": Yes, ""Offer_Certificate"": Yes, ""Metadata"": Humanities, History, Design, Religion, and Education"
Evaluating Social Programs,"Rachel Glennerster, Marc Shotland","Government, Health, and Social Science",34.15,Advanced,No Prerequisite,0.0,No,2015,25,No,No,Yes,"""Title"": Evaluating Social Programs, ""Level"": Advanced, ""Price"": Free, ""Duration"": 34.15, ""Pre_Requirement"": No Prerequisite, ""Placement_Opportunity"": No, ""Course_Relevancy"": Based on 2015 Market Demand, ""Expected_Package"": 25 to 26 LPA, ""EMI_Available"": No, ""Financial_Aid"": No, ""Offer_Certificate"": Yes, ""Metadata"": Government, Health, and Social Science"
"Electrical, Optical and Magnetic Materials and Devices",Caroline Ross,"Science, Technology, Engineering, and Mathematics",30.79,Advanced,No Prerequisite,275.0,Yes,2015,3,Yes,Yes,Yes,"""Title"": Electrical, Optical and Magnetic Materials and Devices, ""Level"": Advanced, ""Price"": 275.0, ""Duration"": 30.79, ""Pre_Requirement"": No Prerequisite, ""Placement_Opportunity"": Yes, ""Course_Relevancy"": Based on 2015 Market Demand, ""Expected_Package"": 3 to 4 LPA, ""EMI_Available"": Yes, ""Financial_Aid"": Yes, ""Offer_Certificate"": Yes, ""Metadata"": Science, Technology, Engineering, and Mathematics"
"Data Analysis for Genomics: Case Study, RNA Sequence Data Analysis",Rafael Irizarry,"Government, Health, and Social Science",12.86,Advanced,No Prerequisite,0.0,No,2015,13,No,Yes,Yes,"""Title"": Data Analysis for Genomics: Case Study, RNA Sequence Data Analysis, ""Level"": Advanced, ""Price"": Free, ""Duration"": 12.86, ""Pre_Requirement"": No Prerequisite, ""Placement_Opportunity"": No, ""Course_Relevancy"": Based on 2015 Market Demand, ""Expected_Package"": 13 to 14 LPA, ""EMI_Available"": No, ""Financial_Aid"": Yes, ""Offer_Certificate"": Yes, ""Metadata"": Government, Health, and Social Science"
"Data Analysis for Genomics: Case study, Variant Discovery and Genotyping",Rafael Irizarry,"Government, Health, and Social Science",8.35,Advanced,No Prerequisite,800.0,No,2015,6,No,No,Yes,"""Title"": Data Analysis for Genomics: Case study, Variant Discovery and Genotyping, ""Level"": Advanced, ""Price"": 800.0, ""Duration"": 8.35, ""Pre_Requirement"": No Prerequisite, ""Placement_Opportunity"": No, ""Course_Relevancy"": Based on 2015 Market Demand, ""Expected_Package"": 6 to 7 LPA, ""EMI_Available"": No, ""Financial_Aid"": No, ""Offer_Certificate"": Yes, ""Metadata"": Government, Health, and Social Science"
"Data Analysis for Genomics: Case study, ChIP Sequence Data Analysis",Rafael Irizarry,"Government, Health, and Social Science",3.6,Advanced,No Prerequisite,425.0,No,2015,9,No,Yes,Yes,"""Title"": Data Analysis for Genomics: Case study, ChIP Sequence Data Analysis, ""Level"": Advanced, ""Price"": 425.0, ""Duration"": 3.6, ""Pre_Requirement"": No Prerequisite, ""Placement_Opportunity"": No, ""Course_Relevancy"": Based on 2015 Market Demand, ""Expected_Package"": 9 to 10 LPA, ""EMI_Available"": No, ""Financial_Aid"": Yes, ""Offer_Certificate"": Yes, ""Metadata"": Government, Health, and Social Science"
"Data Analysis for Genomics: Case study, DNA Methylation Data Analysis",Rafael Irizarry,"Government, Health, and Social Science",5.33,Advanced,No Prerequisite,775.0,No,2015,6,No,No,Yes,"""Title"": Data Analysis for Genomics: Case study, DNA Methylation Data Analysis, ""Level"": Advanced, ""Price"": 775.0, ""Duration"": 5.33, ""Pre_Requirement"": No Prerequisite, ""Placement_Opportunity"": No, ""Course_Relevancy"": Based on 2015 Market Demand, ""Expected_Package"": 6 to 7 LPA, ""EMI_Available"": No, ""Financial_Aid"": No, ""Offer_Certificate"": Yes, ""Metadata"": Government, Health, and Social Science"
